Eurostat sector title,Eastern Europe,Northern Europe,Southern Europe,Western Europe,Not specified
Information And Communication,20,27,40,42,1
"Professional, Scientific And Technical Activities",17,28,34,36,0
Education,3,29,18,5,1
Public Administration And Defence; Compulsory Social Security,7,13,16,9,1
Administrative And Support Service Activities,9,10,17,5,1
"Electricity, Gas, Steam And Air Conditioning Supply",8,21,3,5,2
Financial And Insurance Activities,5,18,4,11,0
Human Health And Social Work Activities,3,6,10,19,0
Manufacturing,7,9,6,16,0
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,8,5,9,10,0
"Arts, Entertainment And Recreation",8,3,7,3,0
Other Service Activities,4,6,9,0,0
Transportation And Storage,4,8,3,4,0
Accommodation And Food Service Activities,2,6,7,3,0
Construction,2,5,6,1,0
Real Estate Activities,3,3,2,1,0
"Water Supply; Sewerage, Waste Management And Remediation Activities",2,2,3,0,0
"Agriculture, Forestry And Fishing",0,6,0,0,0
Mining And Quarrying,0,1,1,1,0
(blank),0,1,0,1,0
